"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"地平线机器人","项目经理-智能驾驶","15k-30k","上海 ","经验不限","学历不限","全职","项目管理 | 过程管理","10:38  ","智能驾驶","工作职责:工作职责·全面负责从立项到完成项目交付的全过程项目管理和客户沟通；·联动多部门及角色确认实施方案，收集和明确需求，保证各项资源投入包括但不局限人力资源，高效任务拆解，对项目进度进行控制和管理；·制定项目目标、成本及预算，并在过程中进行监督和管理；·定期分析和汇总项目状态绩效，提交项目实施内外部阶段报告，多阶段项目状态总结管理；·不断优化项目管理流程与工具，提高跨部门，跨地域，跨公司项目团队的执行效率；任职资格:职位要求·本科及以上学历，软件、电子等专业背景；·良好的沟通技能，团队协作能力，和解决实际问题的能力；·良好的英语沟通能力；·热爱汽车、智能驾驶和人工智能。加分项·有车企或汽车零部件供应商工作经历；·具备ACP，PMP证书。","上海-嘉定区-安亭-安拓路56弄汽车创新港15栋1单元","2018-08-13 14:37:29"
"平安科技","人工智能产品经理（AI）（上海）","15k-30k","上海 ","经验不限","硕士及以上","全职","大数据 | 金融 | 数据分析 | 金融","10:23  ","世界50强,带薪年假,节日福利,绩效丰厚","岗位职责：","上海-浦东新区-东外滩-崂山路316号","2018-08-13 14:37:33"
"第四范式平台业务","人工智能产品经理(市场侧)","15k-30k","北京 ","经验1-3年","本科及以上","全职","产品设计 | 用户研究","14:30  ","大牛","工作职责：1、负责市场及用户研究，发现并掌握目标市场和用户需求的变化趋势，并进行收集、汇总、更新2、 负责针对不同行业不同业务场景的市场侧竞争分析，输出相应成果3、参与设计并运营人工智能服务型产品输出，帮助专家级咨询能力落地触达企业用户4、配合产品设计团队，推进并完善产品侧输出相关文档工具的内容、结构及用途任职要求：1、 全日制本科及以上学历，计算机或数学相关专业背景2、2年以上产品/产品市场相关经验，或1年以上人工智能/机器学习产品相关经验3、具备机器学习、数学建模或模型应用的相关专业背景或工作经验优先4、具备企业级软件产品经验者优先","北京-海淀区-上地颐泉汇A座303","2018-08-13 14:37:36"
"阿里巴巴-平台技术事业群阿里巴巴人工智能实验室","阿里人工智能实验室-Java...","25k-50k","北京 ","经验3-5年","本科及以上","全职","后端 | 服务器端 | 分布式 | Java","12:27  ","人工智能,黑科技","1. 负责人工智能实验室的产品架构、规划、设计、开发； 包括黑科技的产品化落地、领域建设、行业建设、AR开放平台、AliGenie开放平台、引擎管理等。","北京-朝阳区-金辉大厦","2018-08-13 14:37:38"
"震坤行","人工智能算法工程师","10k-15k","上海 ","经验1-3年","大专及以上","全职","人工智能 | 算法","2018-08-09  ","五险一金,带薪年假,节假日福利,融洽的氛围","岗位职责：","上海-浦东新区-张江-科苑路399号张江创新园5号楼","2018-08-13 14:37:41"
"贪心科技","人工智能导师","40k-80k","北京 ","经验3-5年","硕士及以上","兼职","算法 | 数据挖掘","2018-08-07  ","人工智能,指导学员,项目式学习,企业培训","贪心科技是一家成立于美国洛杉矶的人工智能公司。我们旗下的贪心学院是国内首家以AI和大数据内容为主的自适应学习平台。我们提供最专业、最标准化的AI课程体系，并通过人工智能技术给每一位用户提供量身定做的个性化学习路径。","北京-朝阳区-望京广顺北大街36号梦想加空间3层","2018-08-13 14:37:44"
"好未来工程研发中心","人工智能算法研究员/架构师","20k-40k","北京 ","经验3-5年","本科及以上","全职","数据挖掘","10:25  ","团队大牛,上市公司,福利优厚","任职资格：","北京-海淀区-中关村-丹棱街6号丹棱soho16层","2018-08-13 14:37:47"
"焦点科技","AI工程师（人工智能实验室）","15k-20k","南京 ","经验1-3年","硕士及以上","全职","人工智能 | 语音识别","2018-08-08  ","大平台,团队大牛","业务介绍：","南京-浦口区-沿江-高新区星火路软件大厦A座","2018-08-13 14:38:02"
"电享 PowerShare产品市场部","人工智能产品经理","13k-25k","苏州 ","经验3-5年","本科及以上","全职","云计算","10:37  ","大牛多,环境优美,高端客户,海外市场","岗位职责：","苏州-工业园区-独墅湖-星湖街328号创意产业园15栋","2018-08-13 14:38:04"
"大讲台教学部","python、人工智能讲师","6k-12k","北京 ","经验1-3年","本科及以上","全职","算法 | 数据分析","2018-08-09  ","股票期权,晋升空间,高薪,扁平管理","岗位职责： 1、负责Python课程体系设计和完善； 2、负责Python人工智能等课程的讲授； 3、完成领导交办的其它工作任职要求： 1. 有1年以上Python编程经验； 2. 有数学基础和算法基础3. 有较强的语言表达能力，有讲师经验优先考虑。","北京-海淀区-花园桥-北京市海淀区车公庄西路甲19号","2018-08-13 14:38:07"
"北京八维研修学院","人工智能项目经理","20k-35k","北京 ","经验3-5年","学历不限","全职","算法 | 人工智能 | 机器学习 | 深度学习","08:50  ","五险一金,稳定平台,技术提升","职责描述：","北京-海淀区-上地-上地软件园南路57号","2018-08-13 14:38:12"
"北京八维研修学院","人工智能项目经理","20k-35k","北京 ","经验3-5年","学历不限","全职","算法 | 人工智能 | 机器学习 | 深度学习","08:50  ","五险一金,稳定平台,技术提升","职责描述：","北京-海淀区-上地-上地软件园南路57号","2018-08-13 14:38:14"
"咪咕次元事业部","人工智能开发工程师（视频类）","30k-40k","厦门 ","经验3-5年","本科及以上","全职","视频 | 人工智能 | 模式识别 | 算法","09:18  ","高薪,高福利,高颜值","任职资格：","厦门-思明区-软件园二期望海路8号","2018-08-13 14:38:18"
"光启集团公共安全中心","人工智能算法工程师","17k-34k","深圳 ","经验3-5年","本科及以上","全职","人工智能 | 机器学习 | 计算机视觉 | 图像处理","2018-08-06  ","上市公司,技术大牛多,核心大项目,发展空间大","岗位职责:","深圳-南山区-软件大厦","2018-08-13 14:38:21"
"智光一创云平台产品技术部","人工智能算法工程师","8k-16k","广州 ","经验不限","本科及以上","全职","人工智能 | 深度学习 | 大数据 | 云计算","2018-08-06  ","云平台,人工智能,算法,大数据","岗位职责：","广州-黄埔区-广州市黄埔区瑞和路89号智光综合能源产业园","2018-08-13 14:38:24"
"AI考拉技术部","人工智能工程师（知识图谱...","15k-20k","广州 ","经验不限","学历不限","全职","大数据 | 金融 | 人工智能 | 机器学习 | 算法","11:58  ","技术大牛 扁平管理 弹性工作 五险一金","工作职责： ","广州-海珠区-客村-新港中路艺苑南路13号大院5栋201-1室","2018-08-13 14:38:27"
"瑞为智能","项目经理（人工智能）","10k-20k","深圳 ","经验5-10年","本科及以上","全职","项目管理 | PMP","2018-08-03  ","AI行业,前景好,扁平化,文化好","岗位职责：","深圳-南山区-科技园-科技园科苑路南京大学产学研基地B区103室","2018-08-13 14:38:30"
