"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"天尔软件开发部","安卓开发工程师","7k-10k","杭州 ","经验1-3年","大专及以上","全职","工具软件 | 视频 | Android | IOS","2018-08-06  ","周末双休,带薪年假,项目奖励,绩效奖励"," 岗位职责：","杭州-拱墅区-祥园路88号（中国）智慧信息产业园","2018-08-13 19:37:09"
"OPPO研发中心","高级图像识别算法工程师","20k-35k","深圳 ","经验3-5年","本科及以上","全职","深度学习 | 模式识别 | 算法","2018-08-01  ","大平台，给力薪酬","岗位职责:","深圳-南山区-卓越后海中心","2018-08-13 19:37:13"
"人人智能","技术支持经理","8k-15k","北京 ","经验3-5年","大专及以上","全职","新零售 | 产品策划 | 用户研究 | 项目管理 | 需求分析","2018-07-30  ","有提成,发展快","岗位职责","北京-海淀区-五道口-中关村东路8号东升大厦A座四层","2018-08-13 19:37:16"
"滴滴出行CTO","计算机视觉算法专家","60K-100K","北京 ","经验10年以上","硕士及以上","全职","算法","2018-07-25  ","广阔的平台，优渥的待遇，良好的技术氛围","岗位职责：1 从事交通场景下的场景理解、目标检测与识别；","北京-海淀区-西北旺-东北旺西路8号数字山谷","2018-08-13 19:37:21"
"诚志海图","技术支持工程师","5K-8K","北京 ","经验3-5年","大专及以上","全职",,"2018-07-31  ","双休 国企","岗位职责:","北京-海淀区-颐和园-北坞创新园南区三号楼","2018-08-13 19:37:24"
"360搜索事业部","AI产品经理","20k-40k","北京 ","经验3-5年","本科及以上","全职","移动互联网 | 产品设计 | 用户研究","2018-08-03  ","AI,交互,大数据,语音语义","职位描述1. 负责交互产品设计、AI场景规划及建设，能够与人工智能相关技术结合2. 可独立完成产品和竞品的调研工作，高质量完成项目迭代3. 可对产品需求、交互方式提出创新型的想法，能够结合具体应用场景设计方案4. 能够与部门内、外部团队紧密配合，根据规划协调各类资源，解决实际问题。任职要求1. 本科及以上学历，2年及以上互联网、移动互联网产品工作经验2. 了解AI领域相关知识，对人工智能有强烈的兴趣3. 具备良好的需求分析、产品设计、用户体验评估能力4. 有良好的问题解决，沟通协调，和跨团队合作推动能力5. 思维活跃，有创新思维，能承受工作压力6. 有优秀的执行力，面对挑战，能快速决策分析有如下经历者优先1. 有人脸识别、语音识别等AI相关产品经验2. 对自然语言处理、问答系统、搜索引擎有一定了解 ","北京-朝阳区-酒仙桥-酒仙桥路6号院（电子城•国际电子总部）2号楼B座","2018-08-13 19:37:29"
"一点资讯后端","视频处理与分析工程师","25k-30k","北京 ","经验1-3年","本科及以上","全职","图像处理 | 音视频 | 算法","2018-08-03  ","靠谱团队,快速成长,大平台","工作职责","北京-朝阳区-望京-启阳路4号中轻大厦A座","2018-08-13 19:37:35"
"深圳中悦研发部","Android开发工程师","4k-8k","深圳 ","经验应届毕业生","本科及以上","实习","Android | 移动端 | 底层 | C/C++ | 移动互联网","10:15  ","五险一金,发展空间大,扁平化管理,带薪年假","工作职责：","深圳-龙岗区-龙岗区吉华街道甘李二路11号中海信创新产业城19栋","2018-08-13 19:37:42"
"一点资讯","视频处理与分析开发工程师","20k-40k","北京 ","经验1-3年","本科及以上","全职","视频识别 | 视频预处理 | 视频流转码 | 视频算法","2018-08-03  ","计算机视觉,模式识别,图像处理,视频处理","工作职责","北京-朝阳区-北京市朝阳区启阳路4号中轻大厦","2018-08-13 19:37:56"
"OPPO","图像识别算法工程师","20k-35k","深圳 ","经验不限","学历不限","全职","软件开发 | ERP","2018-08-01  ","大平台 丰厚薪酬","岗位职责:1. 负责信息流图片分类、非法图片识别、OCR等相关领域的算法建模、上线和优化2. 负责图像识别相关领域的技术跟踪、预研和落地任职要求1、211/958院校毕业，计算机、机器学习、图像处理、模式识别等相关方向硕士研究生及以上学历2、2年以上图像识别技术研发经验，熟悉深度学习理论框架 3、熟悉C/C++、Java等编程语言，掌握至少一种脚本语言 4、良好的英文技术文献阅读能力，能独立进行英文文献调研、分析和总结5、有责任心和团队精神，乐于沟通和合作具备以下条件优先考虑:1、在相关领域有可以证明的研发成果者（已产品化的技术、专业论文、获奖证书等） 2、有人脸识别、物体检测/识别等相关项目经验3、精通基于深度学习网络的GPU并行计算平台搭建（单机多核或多机多核并行）4、精通Tensorflow、Caffe、Cuda-convnet、Torch等任一种深度学习开源框架","深圳-南山区-卓越后海中心","2018-08-13 19:37:59"
"58到家","产品专家","30k-40k","北京 ","经验5-10年","本科及以上","全职","电商 | 本地生活 | 产品设计 | 电商","2018-07-16  ","平台强大,待遇优厚,扁平管理","58到家集团是专注于全球亿万家庭生活品质提升，为无数蓝领劳动者创造就业机会的综合到家服务公司，利用互联网技术及大数据服务能力，精确匹配受到专业培训的合适劳动者上门服务。58家政是到家集团孵化的明星子公司，主做保姆月嫂及保洁服务，目前已实现单月盈利，目前在A轮融资，计划独立上市。我们是一家梦想改造传统家政行业的互联网公司，雄心壮志远不止如此。总部位于北京，在长沙有第二总部，全国各地都有分公司，员工超过4000。薪资福利堪比一线大公司，六险一金，高级职位配发期权，免费早餐加班餐，周末双休。漂亮小姐姐很多哟～58家政业务线北京产品团队，招募中台产品负责人及高级产品经理若干。主要工作内容：1，用户及劳动者账号体系，个人中心、简历库、标签库、会员体系、积分池等和用户管理有关的产品2，资金管理，多帐户、资金池、订单对账、支付、审计相关产品，金融衍生品等等3，商品及营销，城市商圈管理、sku品类库、卡劵系统、活动组件等等4，基础服务，lbs服务、消息、客服中心、音视频服务、模糊搜索等等5，创新研究，语音交互、人脸识别、虹膜、指纹、直播互动、派单分单模型、智能硬件等等能力要求：1、产品基础能力扎实，逻辑清晰、表达能力强，有同理心，善于沟通，正直诚实，愿意为对社会有价值的事业贡献力量，欢迎你加入我们2、具备O2O行业产品经验，或曾经从事电商、贸易、招聘、出行、共享服务等互联网行业产品工作的同学，优先考虑3、曾经有交互、设计、技术、运营、咨询服务等工作经验的同学，优先考虑4、知名互联网公司经验较丰富的产品人才，有实际线上的产品，有独立负责一条产品线经验优先考虑5、高级产品经理需要3-5年产品经验。产品负责人需要5-10年产品经验，并有一定的管理经验。不管怎么样，只要你喜欢产品工作并且愿意付出努力，我都优先考虑难得的机会，欢迎来咨询。：）","北京-朝阳区-奥运村-桑普大厦","2018-08-13 19:38:04"
