"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"清研讯科研发部","算法工程师--定位类","20k-30k","北京 ","经验1-3年","本科及以上","全职","人工智能 | 机器学习 | 算法","09:39  ","清华团队,股票期权,行业领跑者,福利健全","岗位职责：","北京-海淀区-清河-海淀区双清路3号中太大厦3F-32021","2018-08-13 23:40:45"
"星火教育研发部","算法工程师","30k-60k","上海 ","经验不限","硕士及以上","全职","算法 | 数据挖掘","1天前  ","年底双薪,国内外旅游","方向一：3A算法工程师；负责3A(AWB/AEC/AF)算法的研发和优化","上海-徐汇区-徐家汇-绿地中心","2018-08-13 23:40:48"
"数梦工场智城事业部","算法工程师","10k-20k","杭州 ","经验1-3年","硕士及以上","全职","数据挖掘","2018-07-30  ","五险一金,股票期权,绩效奖金,福利补贴","工作职责:1、负责数据挖掘算法的开发和优化；2、可以熟练应用大数据、数据挖掘及分析建模等技术；3、挖掘数据内在的模式和特征，发现潜在规律，建立数据挖掘算法并优化；4、通过较好的沟通能力，挖掘和总结出在具体业务环境里大数据的应用需求；5、规划综治业务算法及实践。任职资格:1、数学，统计学，计算机专业研究生学历；2、具备深厚的统计学、数学、数据挖掘理论基础和相关项目经验，熟悉R、Python、SAS、SPSS等分析软件之一。参与过完整的数据采集.整理.分析和建模等相关工作2年以上 ；3、良好的逻辑分析能力、分析问题和解决问题的能力，对数据敏感，良好的沟通；4、熟悉决策树、聚类、逻辑回归，关联分析、SVM，贝叶斯等数据挖掘算法，并有实际应用能力；5、具有海量数据下机器学习和算法实施相关经验，熟悉阿里云MaxCompute优先。6、具备良好的沟通能力。","杭州-西湖区-转塘科技园河山路369号中大银座9号楼","2018-08-13 23:40:52"
"云知声","AI算法工程师(J10146)","20k-30k","北京 ","经验不限","硕士及以上","全职","软件开发 | ERP","17:31  ","六险一金,年终多薪,人工智能,技术大牛","工作职责:1、负责主流深度学习框架的分析和比较，协助完成AI芯片架构优化及升级2、负责人工智能框架中间层的优化和移植3、负责AI框架的后端实现任职资格:1、硕士及以上学历，有深度学习（语音，图像处理）相关的工作经验2、善于沟通、责任心强，有强烈的自我驱动力3、精通C/C++语言编程4、熟悉机器学习算法，掌握常用的深度学习算法（CNN，LSTM，RNN等）5、熟悉Tensorflow, Caffe，MXNet等开源框架之一6、熟悉Shell/Perl/Tcl脚本编程7、有DSP代码优化，编译器设计经验者优先","北京-朝阳区-太阳宫-北京市朝阳区太阳宫中路16号院冠捷大厦12层西侧","2018-08-13 23:40:55"
"CTR北京","算法工程师-RM","20k-30k","北京 ","经验3-5年","硕士及以上","全职","大数据 | 算法 | 数据挖掘 | 数据分析","09:24  ","福利待遇优,团队合作好,领导亲和","职位描述：","北京-西城区-德外大街5号","2018-08-13 23:41:01"
"趣头条","算法专家","40k-70k","上海 ","经验3-5年","本科及以上","全职","大数据 | 算法 | 数据挖掘","21:53  ","平均15薪,六险一金,餐补","岗位职责：1. 负责用户画像，推荐算法和机器学习平台的搭建;2. 改进产品的资讯内容推荐系统，优化用户的阅读体验;岗位要求：1、三年以上互联网工作经验，在推荐系统（最好是内容信息流产品）有实践经验；2、对机器学习系统有深刻了解；对推荐系统常见算法和相关业务有深刻了解，最好在以下场景和领域之一有丰富经验：机器学习平台（包括参数服务器、分布式训练框架等），推荐场景（系统了解推荐常用的各种召回策略、用户和文章的冷启动策略、用户和文章特征工程、内容生态），相关阅读和推送；3、熟悉常用数据结构，具备扎实的算法基本功，熟悉C++、Python、go等编程语言；编程能力强，代码爱好者加分；4、良好的业务理解能力和逻辑思维能力，能够从海量数据中发现关键特征，出色的问题分析及解决能力。  ","上海-浦东新区-申江路5005弄星创科技广场","2018-08-13 23:41:04"
"房多多","算法工程师","20k-40k","上海 ","经验3-5年","本科及以上","全职","数据挖掘 | 搜索 | 算法","16:40  ","房地产大数据产品，高成长空间，前景广阔","岗位职责：","上海-闸北区-闸北公园-广中西路757号多媒体大厦11楼","2018-08-13 23:41:08"
"普渡科技","电机控制算法工程师","15k-25k","深圳 ","经验1-3年","本科及以上","全职","驱动开发","10:51  ","公司大牛多,团队氛围好,行业前景好,薪资待遇优","岗位职责：","深圳-南山区-大冲-粤海街道科发路10号维用科技大厦1楼108","2018-08-13 23:41:11"
"厦门云脉技术有限公司研发部","算法工程师","8k-15k","厦门 ","经验不限","本科及以上","全职","算法","09:27  ","五险一金，5天8小时工作制，办理厦门落户","职位职能: 算法工程师（后处理）岗位职责: OCR文字识别、图像处理及视频处理算法的性能提高工作岗位要求:1. 熟悉vc6.0编程工具。2. 熟悉c/c++编程语言。3. 良好的数学基础和逻辑能力。4. 熟悉基本的数据结构。5. 良好的英语阅读能力。6. 有模式识别、识别后处理、数据挖掘技术相关经验的优先。其他要求：1. 有一定的沟通能力和团体合作精神！2. 勤奋刻苦，有上进心！3. 要有专研精神，能够沉下心来工作！【我们有丰厚的福利待遇】工资奖金 —— 季度丰厚的个人项目奖金和团队奖金多种激励 —— 优秀产品建议奖、人才推荐奖社会保险 —— 入职后按厦门市规定为每个员工缴纳养老保险、医疗保险、失业保险、工伤保险、生育保险公 积 金 —— 入职后为每位员工缴纳公积金落户厦门 —— 为符合厦门市人事局落户条件的人员办理厦门落户事宜带薪年假 —— 享受国家规定的带薪年休假，最长十天上班时间 —— 弹性工作制，5天8小时，按照国家规定实行假期制度，我们是个不提倡加班的公司员工活动 —— 聚餐，K歌，羽毛球，中秋搏饼，年终尾牙…你能想到的，都能组织；培训分享 —— 定期安排专业培训或分享，一起学习提高员工生日 —— 亲情关爱是公司宣导的文化，每位“寿星”在新历生日当月都能收到公司的生日蛋糕和祝福 ","厦门-集美区-侨英-软件园三期诚毅北大街5号B区03栋4楼","2018-08-13 23:41:14"
"看了吗视频技术部","算法工程师","20k-30k","北京 ","经验1-3年","本科及以上","全职","后端 | 视频 | 媒体","2018-08-08  ","薪资丰厚,晋升空间大","岗位职责： 1、内容推荐算法设计及开发；2、核心推荐算法的研究、实现和优化；任职资格：1、重点院校计算机或模式识别相关专业硕士以上学历，具备一线互联网公司相关项目经历，实操能力强；2、熟悉常用机器学习算法、NLP相关知识，有一定的算法线上优化经验；3、了解hadoop/spark/storm/kafka等大数据技术，并能熟练快速的解决线上问题；4、掌握C/C++、Java、python中至少两门编程语言，熟练在linux平台开发，基本功扎实；5、有推荐系统研发经验，掌握常用的推荐算法和机器学习算法，有视频推荐、广告或搜索算法研发经验者优先；6、责任心强、沟通能力好、能独立完成任务；","北京-朝阳区-望京-摩托罗拉大厦5层","2018-08-13 23:41:17"
