"招聘单位","招聘岗位","薪资区间","工作地点","工作经验","学历要求","岗位属性","类别","发布时间","职位诱惑","职位描述","工作地址","爬取时间"
"广州辰龙科技","网站编辑","3k-5k","广州 ","经验不限","大专及以上","全职","编辑 | 网站编辑 | 文案","17:52  ","全勤奖,年终奖,绩效奖金,餐补","岗位职责：","广州-天河区-车陂-广州市天河区车陂路113号东宏国际大厦","2018-08-13 18:06:36"
"暗能量","微信运营专员","5k-7k","成都 ","经验不限","大专及以上","兼职","电商 | 用户","17:52  ","自由高薪，持续增长","职位：招聘兼职微信推广员200名 ","成都-高新区--天府五街200号","2018-08-13 18:06:39"
"PAGANINI MILANO编辑","礼品自媒体运营","5k-10k","深圳 ","经验不限","学历不限","全职","内容 | 时尚编辑 | 编辑 | 文案","17:52  ","灵活","职位描述：","深圳-南山区-大冲-深大地铁站c出口","2018-08-13 18:06:42"
"龙石互娱美术部","游戏动作设计师","7k-14k","深圳 ","经验1-3年","大专及以上","全职","3D | U3D | 动作","17:52  ","期权,大型MMO,没有天花板,免费午餐","职位诱惑：","深圳-南山区-南油-南光路122号东华园5栋414室","2018-08-13 18:06:45"
"摆渡空间","php开发程序员","6k-10k","青岛 ","经验1-3年","大专及以上","全职","后端 | PHP | 移动开发 | 数据库 | 电商 | 移动互联网","17:52  ","高薪,晋升空间大,交通便捷,年底奖金","岗位职责：","青岛-市北区-敦化路328号诺德广场A座T层2801摆渡空间","2018-08-13 18:06:48"
"融宇技术部","POS/Linux应用开发工程师","8k-15k","上海 ","经验1-3年","学历不限","全职","支付 | 软件开发 | C++ | Java | Linux","17:51  ","POS应用","岗位职责：","上海-杨浦区-复旦大学-国康路100号西楼101室","2018-08-13 18:06:51"
"易果生鲜","电商运营经理(J11450)","20k-25k","上海 ","经验3-5年","本科及以上","全职","电商 | 运营 | 网站运营 | 网站推广 | 线下拓展","17:51  ","天猫运营,供销平台,内部沟通","工作职责:与阿里沟通协作开通云象的供销平台，以2B业务为主，并带入OEM和一键代发模式搭建平台；    根据业务逻辑寻找生意机会点，逐步扩大云象在供销平台的生意量以及规模；    与内部各部门协同，从采购、产品、财务等各维度确保供销平台的顺利推进与持续稳定发展；    负责平台店铺整体运营，店铺的营销、推广、分析、监控等系统性经营工作，提高店铺的点击率、浏览量和转化率，完成公司的目标销售额； 负责平台年度、季度、月度营销规划与方案的制定，负责监控各阶段（周、月度、季度、年度）运营结果，及时改进，带领团队实现目标； 天猫旗舰店的日常维护包含产品 装修 促销等多方面的维护，并与公司内部实现线上线下的无缝对接；猫超作为内部大客户之一，了解猫超的生意模式并制定出针对猫超的销售方案，推进大进口项目；    与猫超定期共同回顾产品、价格、销量等，完成动物蛋白品类战略上的生意共同增长；    从生鲜品类和食品安全的角度，与猫超共同推进生鲜大品类的生意增长；    为与云象有合作项目的品牌方提出行之有效的线上销售方案及策略；    根据双方的合作基础，将合作方的产品分销到体系内及体系外的线上客户并完成业绩指标 。","上海-长宁区-长宁区金钟路999号C幢","2018-08-13 18:06:55"
"实验楼","用户运营实习生","3k-4k","成都 ","经验应届毕业生","本科及以上","实习","教育 | 移动互联网 | 新媒体运营 | 用户运营 | 内容运营 | 活动策划","17:51  ","成长快速,学习资源多,旅游团建,氛围好","岗位职责：","成都-高新区-天府软件园","2018-08-13 18:06:58"
"茜子服饰财务部","会计","5k-8k","深圳 ","经验1-3年","大专及以上","全职","审计 | 税务 | 结算 | 统计","17:52  ","周末双休,带薪年假,五险一金,年终奖金","岗位职责：","深圳-福田区-金田路现代国际大厦1803-1808室","2018-08-13 18:07:12"
"上海妙蛙研发","java","6k-12k","上海 ","经验1-3年","本科及以上","全职","后端 | Java | 客户端","17:52  ","五险一金,年底双薪,绩效奖金,全勤奖","岗位描述","上海-浦东新区-金海路2588号B201","2018-08-13 18:07:15"
"悠然一指运营部门","社群运营","4k-7k","武汉 ","经验不限","大专及以上","全职","移动互联网 | 运营","17:52  ","周末双休,五险一金",,"武汉-东湖新技术开发区-光谷-光谷国际广场B座25层","2018-08-13 18:07:19"
"深圳量子云科技有限公司设计部","高级摄影师","10k-20k","深圳 ","经验3-5年","大专及以上","全职","移动互联网","17:52  ","公司前景好,发展空间大,福利待遇优","岗位职责：1、负责公司公众号图片素材拍摄。2、负责公司公众号人物、美食、风景等拍摄工作3、公司照片资料库维护与管理。","深圳-南山区-深圳湾-粤海街道卫星大厦706","2018-08-13 18:07:23"
"宜赚科技技术中心","iOS开发工程师","10k-15k","广州 ","经验3-5年","大专及以上","全职","即时通讯 | 视频 | 移动端 | Android | IOS","17:51  ","弹性工作制,晋升空间大,福利齐全","岗位职责: ","广州-越秀区-五羊新城-五羊邨地铁站","2018-08-13 18:07:26"
"纬修师","客服助理/客服专员","4k-5k","上海 ","经验不限","大专及以上","全职","电商 | 售前 | 电商客服 | 在线客服 | 电话客服","17:51  ","扁平管理,领导好,免费下午茶,创业团队","1、受理及接听客户电话咨询，能够及时处理客户问题并提供正确和满意的回复；","上海-浦东新区-盛荣路88弄1号楼603","2018-08-13 18:07:29"
"包尧文化传媒行政人事部","招聘主管","5k-8k","广州 ","经验1-3年","大专及以上","全职","电商 | 招聘 | 人事","17:51  ","社保,下午茶,全勤奖,大小周","岗位职责：","广州-天河区-珠江新城-越秀金融大厦1407","2018-08-13 18:07:32"
"中海达定位","宣传策划专员","5k-10k","广州 ","经验1-3年","大专及以上","全职","产品运营 | 网站运营 | 活动策划 | 线下拓展","17:51  ","五险一金,周末双休,法定节假日,奖金","岗位职责：","广州-番禺区-市桥-番禺大道北537号番山创业中心1号楼3区803-804","2018-08-13 18:07:35"
"妙印云技术部","PHP开发工程师","14k-28k","深圳 ","经验1-3年","本科及以上","全职","电商 | 云计算","17:51  ","PHP","工作职责：","深圳-南山区-后海-粤海街道滨海大道3369号有线信息传输大厦13F","2018-08-13 18:07:39"
"Netac贸易部","业务代表","5k-10k","深圳 ","经验1-3年","大专及以上","全职","销售","17:51  ","年底双薪,年终奖,员工体检,员工旅游","工作内容：","深圳-南山区-科技园-高新南六道10号朗科大厦16楼","2018-08-13 18:07:42"
"杭州光奇犇乐电子商务有限公司招商部","销售顾问","10k-15k","杭州 ","经验1-3年","大专及以上","全职","电商","17:51  ","轻松无加班,氛围活跃,员工生日会","岗位职责：","杭州-滨江区-西兴-江陵路88号万轮科技园7幢606","2018-08-13 18:07:49"
"泽休文化综合管理部","财务专员","6k-10k","上海 ","经验3-5年","大专及以上","全职","电商 | 移动互联网 | 财务 | 会计 | 出纳","17:51  ","月度绩效奖,年底双薪,强度适中,免费零食","岗位内容：","上海-杨浦区-新江湾城-地址：国安路518号星汇广场二期2号","2018-08-13 18:07:52"
"TTFS教育集团","新媒体运营主管","8k-12k","深圳 ","经验3-5年","本科及以上","全职","新媒体运营 | 微信运营 | 活动策划 | 内容运营","17:51  ","发展空间大,人性化管理,准备上市","岗位职责：","深圳-福田区-购物公园-福华一路98号卓越大厦；福田区景田北。","2018-08-13 18:07:56"
,"销售经理","4K-8K","中山 ","经验1-3年","学历不限","全职","销售 | 客户代表","17:51  ","底薪+提成+团队提，月休五天，法定节假休","1.领导和管理能力;.","中山-中山市市辖区--星云路11号兴盛大厦3楼","2018-08-13 18:07:59"
"妈妈金融学院","高级测试工程师","15k-30k","广州 ","经验1-3年","本科及以上","全职","测试","17:51  ","五险一金,年度体检,带薪年假","岗位职责","广州-天河区-赤岗-珠江东路28号越秀金融大厦6107-6111","2018-08-13 18:08:03"
"悠然一指运营部门","内容编辑","5k-7k","武汉 ","经验不限","大专及以上","全职","移动互联网 | 编辑","17:52  ","周末双休,五险一金","岗位职责：","武汉-东湖新技术开发区-光谷-光谷国际广场B座25层","2018-08-13 18:08:17"
"上海妙蛙客户端","游戏服务器","10k-20k","上海 ","经验1-3年","本科及以上","全职","移动端 | 前端开发","17:52  ","五险一金,年底双薪,绩效奖金,全勤奖","岗位职责：","上海-浦东新区-金海路2588号B201","2018-08-13 18:08:21"
"宜赚科技技术中心","高级安卓开发工程师","10k-15k","广州 ","经验1-3年","大专及以上","全职","视频 | 直播 | 移动端 | Android | IOS","17:51  ","弹性工作制,扁平化管理,晋升空间大,福利齐全","岗位职责：","广州-越秀区-五羊新城-五羊邨地铁站","2018-08-13 18:08:24"
"包尧文化传媒总经办","总经理助理","4k-5k","广州 ","经验1年以下","大专及以上","全职","电商 | 总经理助理 | 秘书","17:51  ","社保,全勤奖,下午茶,大小周","岗位职责：","广州-天河区-珠江新城-越秀金融大厦1407","2018-08-13 18:08:28"
"Netac国际业务部","国际销售（闪存、SSD类存储）","8k-15k","深圳 ","经验1-3年","大专及以上","全职","海外销售 | 营销","17:51  ","年终奖,年底双薪,员工体检,员工旅游","岗位职责：","深圳-南山区-科技园-高新南六道10号朗科大厦16楼","2018-08-13 18:08:32"
"妈妈金融学院","财富管理经理","10k-20k","广州 ","经验1-3年","本科及以上","全职","基金 | 投资/融资","17:51  ","五险一金,年度体检,带薪年假","岗位职责","广州-天河区-赤岗-珠江东路28号越秀金融大厦6107-6111","2018-08-13 18:08:35"
"深圳市云印电子商务有限公司产品部","高级产品经理","18k-25k","深圳 ","经验5-10年","本科及以上","全职","企业服务 | 支付","17:51  ","期权激励,绩效激励,氛围好,团队奈斯","岗位职责：","深圳-南山区-大冲-金蝶大厦B栋南座206室","2018-08-13 18:08:39"
,"平面设计师","5K-8K","中山 ","经验1-3年","学历不限","全职","平面 | 网页","17:51  ","法定节假日休息，月休五天，每月一次活动。","熟练平面设计的相关软件，有一定的美感。","中山-中山市市辖区--星云路11号兴盛大厦3楼","2018-08-13 18:08:43"
"淳中科技技术服务部","技术支持工程师","5k-7k","北京 ","经验1-3年","大专及以上","全职","技术支持","17:51  ","员工体检,班车,晋升,奖金","岗位职责： 1、完成产品的安装、调试、演示； 2、解决用户的在产品使用过程中遇到的问题； 3、根据用户需求、结合产品功能提供合适的解决方法； 任职资格： 1、电子、电气、计算机等工科专业，专科以上学历； 2、有技术支持或系统集成工作经验，有网络视频产品行业工作经验者优先； 3、丰富的软件及网络知识，熟悉各种通讯协议，熟悉计算机系统安装和维护及网络调试工作； 4、能独立完成网络系统方案设计，有施工，调试经验，有能力处理硬件及网络方面的疑难问题； 5、有较强的沟通能力和团队协作精神； 6、吃苦耐劳，服从公司安排，能适应出差。","北京-昌平区-北清路中关村生命科学园生命园路4号院6号楼6-7层","2018-08-13 18:08:45"
"优必选科技","运营经理","15k-25k","深圳 ","经验5-10年","本科及以上","全职","运营 | 线下拓展 | O2O运营 | 智能硬件 | 通信/网络设备","17:51  ","独角兽,牛人多,弹性上班,人工智能","工作职责:1.负责全国终端统计管理 2.建设部工作相关的档案管理及维护 3.终端门店建设相关的日常运营支持 4.制定、执行全国终端门店的各类标准规范，指导门店的各类运营活动任职资格:1.本科以上学历，全国连锁消费产品行业5年以上相关岗位工作经验 2.有责任心，对档案管理，服务支持，内部文件编写和管理有一定的经验，善于沟通、协调工作","深圳-南山区-学苑大道1001号南山智园C1栋16/22楼、B1栋13楼","2018-08-13 18:08:49"
"新浪动漫产品运营部","动漫视频后期","5k-7k","北京 ","经验不限","本科及以上","全职","视频 | 视频 | 剪辑 | 影视","17:51  ","带薪年假,六险一金,大平台","岗位职责：","北京-海淀区-嘉豪国际C座15层","2018-08-13 18:08:53"
"久州传动","策划经理","10k-20k","北京 ","经验3-5年","本科及以上","全职","策划 | 文案","17:51  ","五险一金,年终多薪,周末双休,节日福利","1、 根据公司品牌战略和产品规划，制定公关传播计划，帮助提高品牌美誉度和媒体曝光量；","北京-朝阳区-大望路-西大望路蓝堡国际中心1座708室","2018-08-13 18:08:56"
