company,jobrequest,salary,tags,title
春秋航空股份有限公司,"1、作为团队的核心成员，负责NLP平台设计开发，机器学习算法研究和调优；,2、 应用机器学习、自然语言处理等技术，针对大数据建模，结合领域需要，创新产品和技术平台；,3、负责团队建设和日常管理工作。,1、理工类专业，硕士以上学历，博士优先；四年以上相关工作经验，博士放宽至两年;,2、熟悉机器学习、深度学习等各类概念及核心算法，有自然语言处理方向相关经验优先，如分词、文本分类/聚类、情感分析、主题抽取等；,3、具备分布式相关项目经验，如分布式系统、分布式存储、分布式数据仓库合作开发项目经验及基本技能；,4、熟练运用TensorFlow、MXNet、Keras、Theano等任一深度学习框架的优先；,5、有聊天机器人、文本分类聚类、知识图谱相关项目实际工作经验优先； ,6、思维活跃，能快速学习新知识，对技术研发富有激情。",2.5-4万/月,上海-长宁区  |  3-4年经验  |  硕士  |  招1人  |  08-07发布,算法工程师（NLP）(职位编号：springhr000586)
沈阳埃森瑞尔科技有限公司,"岗位职责：,1. 语音对话BOT研究和开发,2. NLP引擎搭建和维护,3. 为终端应用提供语音交互服务,任职要求：,1. ,2. ,3. ,4. ,5. ",2-2.5万/月,沈阳-浑南区  |  10年以上经验  |  本科  |  招若干人  |  08-08发布,自然语言处理(NLP)工程师
科大讯飞股份有限公司,"岗位职责:,1、负责语音分析中的数据挖掘算法的调研实现,2、参与分析需求讨论，提供数据挖掘方案、完成代码编写、测试等工作，对软件质量负责,3、编写及维护相关文档。, ,任职资格:,1、熟练掌握机器学习的相关算法，熟悉矩阵相关的数学知识,2、熟练掌握C++/Python语言，有良好的编码实践和项目经验,3、计算机相关行业本科及以上学历，从事机器学习相关工作2年以上,此岗位为科大讯飞集团统一招聘岗位，人员通过简历筛选、笔试、初试、复试、终审等环节后录用",0.8-1.6万/月,合肥  |  2年经验  |  本科  |  招3人  |  08-08发布,NLP开发工程师（应用研发）—消费者BG(职位编号：iflytek008600)
深圳爱拼信息科技有限公司,,1.5-3万/月,深圳-南山区  |  3-4年经验  |  招2人  |  07-05发布,NLP研发工程师
深圳市圣魂文化科技有限公司,"1、负责数据挖掘项目、信息抽取项目的需求分析、设计及指导实现工作。包含：分词，词性标注、名实体识别、信息抽取、信息摘要技术等；,2、有较强的程序代码开发能力和架构能力，扎实的python基础；,3、熟悉机器学习/深度学习/人工智能/模式识别相关算法实现，算法优化和性能评估。,任职要求,1. 精通网络爬虫、互联网搜索、大数据新闻、网络多媒体、网络视频、即时通讯等技术，有着丰富的网络数据爬取工程项目经验；,2. 了解自然语言处理及语义分析、图像处理、优化算法等理论和技术，丰富的互联网大数据信息处理、搜索引擎、人工智能等行业经验；,3、对word2vec，CNN，LSTM, GRU等方法的原理有深入了解；,4、有基于生成式seq2seq、基于检索式对话系统研发经验者优先；,5、有深度学习相关经验，熟悉常用的深度学习框架（如TensorFlow、Caffe、Theano等）者优先。",1.5-2万/月,深圳-南山区  |  2年经验  |  本科  |  招3人  |  07-07发布,自然语言处理工程师（NLP）
武汉八百沃科技有限公司,"工作职责： ,1、负责自然语言处理等相关算法研发； ,2、负责算法相关的代码库、工具库的设计、封装和发布、工程性能优化等；  ,3、负责在风控及语义理解方面的前沿技术调研及落地。,任职资格： ,1、本科及以上学历，计算机、通信、数学等相关专业优先；  ,2、熟练掌握自然语言处理相关的理论知识和实践技能，在相关领域工作经验达到2年及以上； ,3、熟练掌握以下任意一种语言：golang、java、c/c++、python； ,4、熟练掌握传统文本分类、语义分析模型及CNN、RNN、LSTM等深度学习模型的应用场景、基本原理和使用方法；  ,5、在自然语言处理相关领域有项目实践经验； ,6、掌握TensorFlow、Caffe/Caffe2、MXNet等主流框架中的一种或多种；  ,7、拥有扎实的数学基础和工程能力； ,8、具有较强团队合作能力和抗压能力； ,9、具有持续学习及阅读国外最新papper能力。",4-5万/月,武汉-洪山区  |  无工作经验  |  招2人  |  07-10发布,NLP智能对话算法工程师
上海钊芃实业有限公司,"负责公司核心个性化推荐系统的研发，具体工作包括但不限于数据挖掘、特征工程、构建预估、排序、推荐模型等。,熟练掌握常用机器学习算法，如逻辑回归、GBDT、深度学习等；,熟悉常用的NLP技术；,有新闻推荐工作经验者优先；,4年以上相关工作经验；,如公司背景好，学历可降低要求,教育经历,要求211, 985, 清北复交以上学校（第一学历）,要求计算机软件, 计算机应用专业专业,；",50-100万/年,北京-海淀区  |  5-7年经验  |  本科  |  招2人  |  08-14发布,资深算法工程师
杭州中天微系统有限公司,"岗位职责：,1，负责人脸识别、指纹识别、语音识别等相关AI算法的应用开发；,2，负责AI算法模型到AI芯片映射部署；,3，负责AI边缘计算算法优化，对CPU、AI芯片、基础算法库提出优化需求。,任职要求： ,1，本科以上学历，有3年以上实际编码工程经验，精通c/c++、python、java等编程语言；,2，熟悉AI相关应用领域（图像识别，目标跟踪，人脸检测，语音识别，NLP等）；,3，熟悉深度学习网络框架，如VGG、resnet、faster-rcnn、ssd等；,4，熟悉AI算法训练框架，不限于tensorflow，caffe，pytorch等，了解其中backward，forward相关代码实现和优化部分优先；,5，具备嵌入式领域工作经验，具有算法的SIMD指令优化，FPGA实现者优先。",2.5-3万/月,杭州  |  无工作经验  |  招2人  |  08-14发布,深度学习AI算法工程师
北京云知声信息技术有限公司,"岗位职责：,岗位要求：,                    ",20-40万/年,上海-徐汇区  |  无工作经验  |  硕士  |  招若干人  |  08-08发布,NLP算法工程师（技术—上海）
广州至真信息科技有限公司,"工作职责：,1. Hadoop大数据处理平台架构设计及系统运行维护及调优，提高系统运行效率；,2. 进行大数据处理技术攻关，参与技术交流及大数据团队建设；,3. 与开发工程师协作解决业务流程中的海量数据存储、管理、计算、分析与查询问题；,4. 与算法设计师协作实现大数据应用的挖掘与处理算法，提高数据处理效率；,5. 发现大数据平台运行中的性能瓶颈，实施性能调优；,6. 良好的团队合作，较强的沟通能力，对解决挑战型问题充满激情；,7. 完成与工作相关的技术文档编写工作。,职位要求：,1. 本科或以上计算机或相关专业，3年以上工作经验；,2. 有Java开发经验；,3. 熟练掌握Hadoop生态系统中各个组件的安装与配置，了解性能优化方法；,4. 熟悉Pig、Hive、Impala、HBase；,5. 至少熟练掌握一种NoSQL数据库，如MongoDB、HBase、Neo4J等；,6. 熟练掌握Java编程语言，熟悉Map-Reduce编程模式，掌握Hadoop相关组件的Java编程接口；,7. 做事认真负责，沟通能力良好，自学能力较强；,8. 具备NLP、Data Mining、Machine Learning背景者优先。",1-2.5万/月,广州  |  3-4年经验  |  本科  |  招4人  |  08-14发布,大数据开发工程师
